CustomerID,First_Name,Last_Name,Phone_Number,Address,Paying Customer,Do_Not_Contact,Not_Useful_Column
1001,Frodo,Baggins,123-545-5421,"123 Shire Lane, Shire",Y,N,True
1002,Abed,Nadir,123/643/9775,93 West Main Street,N,Y,False
1003,Walter,White,7066950392,298 Drugs Driveway,N,,True
1004,Dwight,Schrute,123-543-2345,"980 Paper Avenue, Pennsylvania, 18503",Y,Y,True
1005,Jon,Snow,876|678|3469,123 Dragons Road,Y,N,True
1006,Ron,Swanson,304-762-2467,768 City Parkway,Y,Y,True
1008,Sherlock,Holmes,876|678|3469,98 Clue Drive,N,N,False
1010,Peter,Parker,123-545-5421,"25th Main Street, New York",Y,N,True
1012,Harry,Potter,7066950392,2394 Hogwarts Avenue,Y,,True
1013,Don,Draper,123-543-2345,2039 Main Street,Y,N,False
1014,Leslie,Knope,876|678|3469,343 City Parkway,Y,N,False
1015,Toby,Flenderson,304-762-2467,214 HR Avenue,N,N,False
1016,Ron,Weasley,123-545-5421,2395 Hogwarts Avenue,N,N,False
1017,Michael ,Scott,123/643/9775,"121 Paper Avenue, Pennsylvania",Y,N,False
1018,Clark,Kent,7066950392,3498 Super Lane,Y,,True
1020,Anakin,Skywalker,876|678|3469,"910 Tatooine Road, Tatooine",Y,N,True
